source_group,body_part_sensory,target_type,dim_category,super_class,median_influence,adjusted_influence
"humid, Ir68a [antenna]",antenna,INXXX428,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,4.030583254993462e-5,13.880985628802454
"humid, Ir68a [antenna]",antenna,INXXX431,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,5.426061380837126e-5,14.178288061557325
"humid, Ir68a [antenna]",antenna,INXXX437,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,7.264334061833312e-5,14.470051163959823
"humid, Ir68a [antenna]",antenna,INXXX438,other-dimorphic,ventral_nerve_cord_intrinsic,6.784159764654684e-5,14.4016649834565
"humid, Ir68a [antenna]",antenna,INXXX440,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,1.9790887498340523e-5,13.169711046442561
"humid, Ir68a [antenna]",antenna,INXXX442,specific,ventral_nerve_cord_intrinsic,3.394341128832631e-5,13.709184206170168
"humid, Ir68a [antenna]",antenna,INXXX443,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,1.5040136551825143e-5,12.895211839759897
"humid, Ir68a [antenna]",antenna,INXXX444,specific,ventral_nerve_cord_intrinsic,6.313781955184959e-5,14.329809391022389
"humid, Ir68a [antenna]",antenna,INXXX446,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,4.7531604272434095e-5,14.045884284930954
"humid, Ir68a [antenna]",antenna,INXXX447,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,1.1370513047704655e-4,14.918097964703376
"humid, Ir68a [antenna]",antenna,INXXX448,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,6.235297969594874e-5,14.317300902850647
"humid, Ir68a [antenna]",antenna,INXXX452,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,8.364683025821382e-5,14.611092975842222
"humid, Ir68a [antenna]",antenna,INXXX454,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,2.8705732545430068e-5,13.541586285114759
"humid, Ir68a [antenna]",antenna,INXXX456,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,3.270935559709318e-5,13.672150582905664
"humid, Ir68a [antenna]",antenna,INXXX473,specific,ventral_nerve_cord_intrinsic,7.524554908663932e-5,14.50524619556507
"humid, Ir68a [antenna]",antenna,INXXX474,specific,ventral_nerve_cord_intrinsic,6.292133009907762e-5,14.326374659529982
"humid, Ir68a [antenna]",antenna,LAL300m,specific,central_brain_intrinsic,1.011519097996434e-4,14.801112886337709
"humid, Ir68a [antenna]",antenna,LAL301m,specific,central_brain_intrinsic,1.3206916720210742e-4,15.067815221340561
"humid, Ir68a [antenna]",antenna,LAL302m,specific,central_brain_intrinsic,1.2463658913425577e-4,15.009891658044433
"humid, Ir68a [antenna]",antenna,LAL303m,specific,central_brain_intrinsic,7.512671874125483e-5,14.503665713048756
"humid, Ir68a [antenna]",antenna,LAL304m,specific,central_brain_intrinsic,2.550878879056341e-4,15.726097586266539
"humid, Ir68a [antenna]",antenna,LH001m,specific,central_brain_intrinsic,0.0014464346832194829,17.461346410381918
"humid, Ir68a [antenna]",antenna,LH002m,specific,central_brain_intrinsic,7.871024829384488e-4,16.852847901719173
"humid, Ir68a [antenna]",antenna,LH003m,specific,central_brain_intrinsic,6.417474925505634e-4,16.648684354573362
"humid, Ir68a [antenna]",antenna,LH004m,specific,central_brain_intrinsic,8.338985741396533e-4,16.9106012232575
"humid, Ir68a [antenna]",antenna,LH005m,specific,central_brain_intrinsic,9.132481159138555e-4,17.001497044652712
"humid, Ir68a [antenna]",antenna,LH006m,specific,central_brain_intrinsic,0.009827678438507455,19.377447456226935
"humid, Ir68a [antenna]",antenna,LH007m,specific,central_brain_intrinsic,0.0010095454845114782,17.101744935248572
"humid, Ir68a [antenna]",antenna,LH008m,specific,central_brain_intrinsic,7.721809956983289e-4,16.83370841496774
"humid, Ir68a [antenna]",antenna,LHAV2b2_a,cross-mapped dimorphic,central_brain_intrinsic,0.0021645935367754607,17.86447732201754
"humid, Ir68a [antenna]",antenna,LHAV2b2_c,cross-mapped dimorphic,central_brain_intrinsic,0.001214272804649845,17.28639010393747
"humid, Ir68a [antenna]",antenna,LHAV2b5,cross-mapped dimorphic,central_brain_intrinsic,5.992845359106857e-4,16.580225945580572
"humid, Ir68a [antenna]",antenna,LHAV4c2,cross-mapped dimorphic,central_brain_intrinsic,1.0769970950161612e-4,14.863836328902101
"humid, Ir68a [antenna]",antenna,LHPD2a1,cross-mapped dimorphic,central_brain_intrinsic,6.381075005849983e-4,16.642996207401353
"humid, Ir68a [antenna]",antenna,LN-DN1,other-dimorphic,sensory_descending,4.249185290285251e-5,13.933801803186523
"humid, Ir68a [antenna]",antenna,LN-DN2,cross-mapped dimorphic,sensory_descending,3.88882604614666e-5,13.845181859490111
"humid, Ir68a [antenna]",antenna,LPN_b,cross-mapped dimorphic,central_brain_intrinsic,0.00128855027982198,17.34576249334739
"humid, Ir68a [antenna]",antenna,LgAG1,other-dimorphic,sensory_ascending,5.0915078605465794e-5,14.114648561514901
"humid, Ir68a [antenna]",antenna,LgLG3a,other-dimorphic,sensory,1.2757023804242736e-5,12.730571448565112
"humid, Ir68a [antenna]",antenna,LgLG3a,specific,sensory,1.151128972614392e-5,12.62781771115446
"humid, Ir68a [antenna]",antenna,LgLG3b,other-dimorphic,sensory,1.6928315620601294e-5,13.013477142422094
"humid, Ir68a [antenna]",antenna,LgLG3b,other-dimorphic,ventral_nerve_cord_intrinsic,1.7165105873526237e-5,13.027368036915071
"humid, Ir68a [antenna]",antenna,LgLG3b,specific,sensory,0,0
"humid, Ir68a [antenna]",antenna,LgLG5,cross-mapped dimorphic,ascending,1.1242872601293995e-5,12.604223823359089
"humid, Ir68a [antenna]",antenna,LgLG5,cross-mapped dimorphic,sensory,8.631509454981813e-6,12.339908839713846
"humid, Ir68a [antenna]",antenna,LgLG6,specific,ascending,1.22031029235709e-5,12.686179699434126
"humid, Ir68a [antenna]",antenna,LgLG6,specific,sensory,1.1026402299972333e-5,12.58478204802158
"humid, Ir68a [antenna]",antenna,LgLG6,specific,ventral_nerve_cord_intrinsic,1.1679966448114853e-5,12.642364546838774
"humid, Ir68a [antenna]",antenna,LgLG7,specific,sensory,2.4903799136865907e-6,11.09692471665159
"humid, Ir68a [antenna]",antenna,LgLG8,specific,sensory,4.1271597628093844e-6,11.602078903665664
"humid, Ir68a [antenna]",antenna,LgLG8,specific,ventral_nerve_cord_intrinsic,7.960440038918147e-6,12.258973721635188
"humid, Ir68a [antenna]",antenna,Li20,other-dimorphic,optic_lobe_intrinsic,1.1766087951781575e-5,12.649710933529226
"humid, Ir68a [antenna]",antenna,LoVP105,cross-mapped dimorphic,central_brain_intrinsic,1.7143317047646012e-4,15.328682956175996
"humid, Ir68a [antenna]",antenna,LoVP92,specific,visual_projection,3.080434246995824e-5,13.612145111361558
"humid, Ir68a [antenna]",antenna,MNad01,cross-mapped dimorphic,motor,6.436198943493871e-5,14.349012674728455
"humid, Ir68a [antenna]",antenna,MNad02,other-dimorphic,motor,6.262077316469867e-5,14.321586504786838
"humid, Ir68a [antenna]",antenna,MNad04,cross-mapped dimorphic,motor,1.6095533715908e-4,15.265616359585396
"humid, Ir68a [antenna]",antenna,MNad05,cross-mapped dimorphic,motor,6.715206644085391e-5,14.391449138036377
"humid, Ir68a [antenna]",antenna,MNad06,cross-mapped dimorphic,motor,6.055619066247338e-5,14.288061147311899
"humid, Ir68a [antenna]",antenna,MNad08,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,5.9413177328217555e-5,14.269005484343733
"humid, Ir68a [antenna]",antenna,MNad09,other-dimorphic,motor,5.950261576927718e-5,14.270509716129848
"humid, Ir68a [antenna]",antenna,MNad10,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,6.676278665192776e-5,14.385635281299253
"humid, Ir68a [antenna]",antenna,MNad11,cross-mapped dimorphic,motor,5.578258691420182e-5,14.205951200251866
"humid, Ir68a [antenna]",antenna,MNad12,other-dimorphic,motor,6.484680029439915e-5,14.356517011479129
"humid, Ir68a [antenna]",antenna,MNad14,other-dimorphic,ventral_nerve_cord_intrinsic,6.10628291968203e-5,14.296392762969665
"humid, Ir68a [antenna]",antenna,MNad16,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,7.666585623007419e-5,14.523945891322864
"humid, Ir68a [antenna]",antenna,MNad17,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,1.5293342460598558e-4,15.214492135435986
"humid, Ir68a [antenna]",antenna,MNad19,other-dimorphic,motor,7.260498207042489e-5,14.469522985071558
"humid, Ir68a [antenna]",antenna,MNad20,other-dimorphic,motor,6.368793352665725e-5,14.338484560087274
"humid, Ir68a [antenna]",antenna,MNad23,other-dimorphic,motor,1.9801350811348806e-4,15.472824693198586
"humid, Ir68a [antenna]",antenna,MNad44,other-dimorphic,motor,6.440376082448078e-5,14.349661471336608
"humid, Ir68a [antenna]",antenna,MNad46,other-dimorphic,motor,6.11721162797524e-5,14.298180911385428
"humid, Ir68a [antenna]",antenna,MNad49,cross-mapped dimorphic,motor,1.1762239697281427e-4,14.95196890981597
"humid, Ir68a [antenna]",antenna,MNad50,cross-mapped dimorphic,visceral_circulatory,5.296306853492272e-5,14.154084292600086
"humid, Ir68a [antenna]",antenna,MNad53,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,6.503648299654873e-5,14.359437831344396
"humid, Ir68a [antenna]",antenna,MNad55,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,1.0238387843383765e-4,14.813218705077047
"humid, Ir68a [antenna]",antenna,MNad57,other-dimorphic,ventral_nerve_cord_intrinsic,1.4396710803602603e-4,15.154074299104238
"humid, Ir68a [antenna]",antenna,MNad62,other-dimorphic,ventral_nerve_cord_intrinsic,5.6081746692218263e-5,14.211299830714578
"humid, Ir68a [antenna]",antenna,MNad65,cross-mapped dimorphic,motor,6.025422729487687e-5,14.283062174515782
"humid, Ir68a [antenna]",antenna,MNad69,other-dimorphic,visceral_circulatory,6.943165207804833e-5,14.424832287391045
"humid, Ir68a [antenna]",antenna,MZ_lv2PN,cross-mapped dimorphic,central_brain_intrinsic,0.018542505446283296,20.012310409365327
"humid, Ir68a [antenna]",antenna,M_vPNml57,other-dimorphic,central_brain_intrinsic,8.075742448197855e-4,16.87852443695521
"humid, Ir68a [antenna]",antenna,Mi20,specific,optic_lobe_intrinsic,4.074210246790564e-6,11.589166365477466
"humid, Ir68a [antenna]",antenna,P1_10a,specific,central_brain_intrinsic,1.1722513438775382e-4,14.948585753419367
"humid, Ir68a [antenna]",antenna,P1_10b,specific,central_brain_intrinsic,9.746284925605771e-5,14.763960714156703
"humid, Ir68a [antenna]",antenna,P1_10c,specific,central_brain_intrinsic,1.1882141601364573e-4,14.962111102192813
"humid, Ir68a [antenna]",antenna,P1_10d,specific,central_brain_intrinsic,1.0512102046807506e-4,14.839601704374024
"humid, Ir68a [antenna]",antenna,P1_11a,specific,central_brain_intrinsic,3.1543417056134507e-4,15.938439451093682
"humid, Ir68a [antenna]",antenna,P1_11b,specific,central_brain_intrinsic,1.7049009767258338e-4,15.323166658906029
"humid, Ir68a [antenna]",antenna,P1_12a,specific,central_brain_intrinsic,1.1861712360654235e-4,14.96039029934554
"humid, Ir68a [antenna]",antenna,P1_12b,specific,central_brain_intrinsic,1.392794555691548e-4,15.120971828593381
"humid, Ir68a [antenna]",antenna,P1_15a,specific,central_brain_intrinsic,1.5463606361338077e-4,15.225563821447436
"humid, Ir68a [antenna]",antenna,P1_15b,specific,central_brain_intrinsic,1.529081179570167e-4,15.214326646805405
"humid, Ir68a [antenna]",antenna,P1_15c,specific,central_brain_intrinsic,1.4886082045510496e-4,15.187501220541076
"humid, Ir68a [antenna]",antenna,P1_16a,specific,central_brain_intrinsic,2.0662803549088767e-4,15.515409688889997
"humid, Ir68a [antenna]",antenna,P1_16b,specific,central_brain_intrinsic,2.2318201108368924e-4,15.592477073791706
"humid, Ir68a [antenna]",antenna,P1_17a,specific,central_brain_intrinsic,1.8426358396577078e-4,15.400856696117662
"humid, Ir68a [antenna]",antenna,P1_17b,specific,central_brain_intrinsic,1.7211326009595188e-4,15.332642191070425
"humid, Ir68a [antenna]",antenna,P1_18a,specific,central_brain_intrinsic,1.1023472842462725e-4,14.887101429077765
"humid, Ir68a [antenna]",antenna,P1_18b,specific,central_brain_intrinsic,1.423097559491999e-4,15.142495503806066
"humid, Ir68a [antenna]",antenna,P1_19,specific,central_brain_intrinsic,1.2281828916954732e-4,14.995195381264544
"humid, Ir68a [antenna]",antenna,P1_1a,specific,central_brain_intrinsic,1.4953922263617988e-4,15.192048159226857
"humid, Ir68a [antenna]",antenna,P1_1b,specific,central_brain_intrinsic,1.8601785539006246e-4,15.410332107862303
"humid, Ir68a [antenna]",antenna,P1_2a,specific,central_brain_intrinsic,1.763369442785769e-4,15.356886062966586
