MANC ID,DimScore
30667,2.2379359739587446
14137,2.2354024090029903
25430,2.2345228224465217
17897,2.2341822392609663
14554,2.232963631946567
21196,2.232201666001304
17301,2.232194008928561
152779,2.2316051217550066
18676,2.2313763647574416
23849,2.231228763746065
159882,2.231181572867322
11186,2.231106655762989
24611,2.2300249683996447
15568,2.2293925669856574
16994,2.229388391321248
18614,2.229166260047128
23146,2.2287003483891805
17344,2.2276785079384487
20570,2.2272678335079754
11697,2.227005933411287
21406,2.2266487363694623
15785,2.2260992896946914
18298,2.225797161642616
14119,2.2256840368162947
16439,2.2249850084596647
12793,2.2249750146021907
16318,2.224390210048632
18619,2.2238107577483075
14617,2.223372002598125
79077,2.222678766986355
17480,2.222251242460123
33285,2.222197925234751
15127,2.222056513489452
14751,2.221916526585114
23803,2.2214353758586367
39959,2.220869290504414
20791,2.219560537521404
22870,2.2193124248832596
19278,2.218994366741894
16934,2.218826233128594
13345,2.2181941719433715
13154,2.2174878926633492
22818,2.21694266647069
19853,2.2167786660936835
16836,2.2167663550443266
14457,2.2164661114488027
21069,2.216426353626473
21245,2.2157288085926776
12253,2.2151540268496834
26979,2.214907331912922
21530,2.214569091883487
16315,2.2134479626553754
17006,2.2128840225778017
22167,2.212404646346562
16760,2.2122725749479604
16275,2.2119596233962078
21685,2.2118827992672765
18919,2.2113441585824107
16171,2.2111579170032076
18828,2.2102979059045524
163039,2.209927025872844
33755,2.209875901411754
53595462076,2.209783095668144
31408,2.2095183307637307
26846,2.2092068221654784
27742,2.2089454904733237
25894,2.208359983485599
27936,2.2080403010984155
47124,2.2077849406624095
17405,2.206708410497903
12877,2.206554575456138
17774,2.2058534725335623
16746,2.2057522476433875
14257,2.2033427529874525
13134,2.2032079541165253
45311,2.2023747111068923
16795,2.200881985596304
21320,2.2007000632945672
19067,2.2003977755552198
38770,2.2001949033352957
30956,2.2000107262779904
156607,2.1999132998913273
30119,2.199710936671863
15189,2.199688826040576
32162,2.1995748465437863
15107,2.1995320361591384
10775,2.198806278832268
27973,2.1985497430621614
39860,2.198471715633388
26708,2.1979929613832434
30304,2.197985578366564
16249,2.197831934768288
186741,2.197245974110647
172210,2.1969585674996304
32217,2.1967504646703753
15033,2.1955720937099974
163733,2.194402676063594
26377,2.193070154338636
34462,2.193050707639579
18379,2.1923314293206464
17376,2.1919622689794562
31065,2.1913524078271704
13145,2.191335835782728
18068,2.1902484558316084
13750,2.189352243604938
15393,2.1890796854708388
26557,2.1889477298494904
15860,2.188637233215009
21201,2.1884045740535707
17400,2.187531720234297
11394,2.187172650826058
27131,2.1860247894379
17210,2.1860187398632216
18877,2.185903589068945
23953,2.1855927072740773
20011,2.185224189209462
34222,2.1842668185534952
32742,2.1838309814621706
14292,2.183232725012896
14624,2.182701462709788
18011,2.182046871718114
16162,2.181717056036502
41468,2.1816568425572798
13699,2.1815822947122783
40070,2.1810355712949545
19250,2.180207030052243
28996,2.179714649371513
34737,2.1796129434008336
28478,2.1793389953749975
20678,2.1790024845015656
23722,2.178877862359271
45927,2.1787439252528955
13183,2.1783564057943448
14477,2.1778404801896674
20224,2.1776829818033336
13728,2.17732470996064
20782,2.176515600899425
24725,2.175801059138284
23654,2.175781402649926
152358,2.1757596557878456
19900,2.175571212292195
153575,2.174962640832767
16141,2.1749342636558047
18613,2.1746636328629556
15066,2.174336409029423
12417,2.173747994307393
14494,2.1735524878635175
31709,2.173532976155069
23398,2.17346215170622
13329,2.172915504495307
14880,2.1725627021408727
14730,2.172524972479109
13664,2.1721977474043146
23259,2.171988379781857
16597,2.1718953826705567
19627,2.1717994144168045
11377,2.171621668612136
52792479575,2.171436507537901
