Cell Type,Category,Reference,Eval
INXXX378,Dimorphic,New,type_assembly_errors
INXXX379,Dimorphic,New,type_assembly_errors
INXXX382,Dimorphic,New,needs_detailed_examination
INXXX387,Male Specific,New,
INXXX391,Dimorphic,New,needs_minor_rectification
INXXX392,Male Specific,New,
INXXX394,Dimorphic,New,needs_detailed_examination
INXXX395,Dimorphic,New,needs_detailed_examination
INXXX398,Male Specific,New,
INXXX399,Dimorphic,New,internally_consistent
INXXX401,Male Specific,New,
INXXX407,Dimorphic,New,needs_minor_rectification
INXXX411,Dimorphic,New,needs_detailed_examination
INXXX412,Dimorphic,New,
INXXX416,Dimorphic,New,needs_detailed_examination
INXXX418,Dimorphic,New,type_assembly_errors
INXXX420,Male Specific,New,
INXXX421,Dimorphic,New,type_assembly_errors
INXXX423,Male Specific,New,
INXXX424,Male Specific,New,
INXXX425,Male Specific,New,
INXXX430,Male Specific,New,
INXXX431,Dimorphic,New,type_assembly_errors
INXXX437,Dimorphic,New,internally_consistent
INXXX438,Dimorphic,New,needs_detailed_examination
INXXX439,Male Specific,New,
INXXX442,Male Specific,New,
INXXX443,Dimorphic,New,
INXXX444,Male Specific,New,
INXXX446,Dimorphic,New,type_assembly_errors
INXXX447,Dimorphic,New,needs_detailed_examination
INXXX451,Male Specific,New,
INXXX452,Dimorphic,New,needs_detailed_examination
INXXX454,Dimorphic,New,needs_detailed_examination
INXXX456,Male Specific,New,
INXXX457,Male Specific,New,
INXXX458,Dimorphic,New,internally_consistent
INXXX459,Dimorphic,New,needs_detailed_examination
INXXX807_f,Female Specific,New,
INXXX808_f,Female Specific,New,
INXXX809_f,Female Specific,New,
INXXX810_f,Female Specific,New,
INXXX811_f,Female Specific,New,
INXXX812_f,Female Specific,New,
INXXX813_f,Female Specific,New,
INXXX814_f,Female Specific,New,
INXXX815_f,Female Specific,New,
INXXX816_f,Female Specific,New,
INXXX817_f,Female Specific,New,
INXXX818_f,Female Specific,New,
INXXX819_f,Female Specific,New,
INXXX820_f,Female Specific,New,
INXXX821_f,Female Specific,New,
INXXX822_f,Female Specific,New,
INXXX823_f,Female Specific,New,
INXXX824_f,Female Specific,New,
INXXX825_f,Female Specific,New,
INXXX826_f,Female Specific,New,
INXXX827_f,Female Specific,New,
INXXX828_f,Female Specific,New,
INXXX829_f,Female Specific,New,
INXXX830_f,Female Specific,New,
INXXX831_f,Female Specific,New,
INXXX832_f,Female Specific,New,
INXXX833_f,Female Specific,New,
INXXX834_f,Female Specific,New,
INXXX835_f,Female Specific,New,
INXXX836_f,Female Specific,New,
INXXX837_f,Female Specific,New,
INXXX838_f,Female Specific,New,
INXXX839_f,Female Specific,New,
INXXX840_f,Female Specific,New,
INXXX841_f,Female Specific,New,
INXXX842_f,Female Specific,New,
INXXX843_f,Female Specific,New,
INXXX844_f,Female Specific,New,
INXXX845_f,Female Specific,New,
INXXX846_f,Female Specific,New,
INXXX847_f,Female Specific,New,
INXXX848_f,Female Specific,New,
INXXX849_f,Female Specific,New,
INXXX850_f,Female Specific,New,
INXXX851_f,Female Specific,New,
INXXX852_f,Female Specific,New,
INXXX853_f,Female Specific,New,
INXXX854_f,Female Specific,New,
INXXX855_f,Female Specific,New,
INXXX856_f,Female Specific,New,
INXXX857_f,Female Specific,New,
